run,pop,herb,rate,rep,count,biomass,count_red,bio_red
2,A34,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
2,A34,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
2,A34,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
2,A35,atrazine,0.5x,1,2,0.026,0.9215686280,0.9858310630
2,A35,atrazine,0.5x,2,3,0.004,0.8823529410,0.9978201640
2,A35,atrazine,0.5x,3,3,0.04,0.8823529410,0.9782016350
2,A35,atrazine,0.5x,4,1,0.001,0.9607843140,0.9994550410
2,A35,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
2,A35,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
2,A35,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
2,A35,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
2,A36,atrazine,0.5x,1,0,0,0.9999999999,0.9999999999
2,A36,atrazine,0.5x,2,7,0.317,0.6315789470,0.7889129350
2,A36,atrazine,0.5x,3,6,0.751,0.6842105260,0.4999167640
2,A36,atrazine,0.5x,4,7,0.498,0.6315789470,0.6683868820
2,A36,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
2,A36,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
2,A36,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
2,A36,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
2,A37,atrazine,0.5x,1,13,1.261,0.5806451610,0.1723911620
2,A37,atrazine,0.5x,2,11,1.288,0.6451612900,0.1546707500
2,A37,atrazine,0.5x,3,12,0.973,0.6129032260,0.3614088820
2,A37,atrazine,0.5x,4,,,,
2,A37,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
2,A37,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
2,A37,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
2,A37,metribuzin,0.5x,4,,,,
2,A39,atrazine,0.5x,1,6,0.349,0.8688524590,0.8327743170
2,A39,atrazine,0.5x,2,11,1.059,0.7595628420,0.4925730710
2,A39,atrazine,0.5x,3,15,1.088,0.6721311480,0.4786775280
2,A39,atrazine,0.5x,4,13,1.064,0.7158469950,0.4901772880
2,A39,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
2,A39,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
2,A39,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
2,A39,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
2,A41,atrazine,0.5x,1,4,0.078,0.8954248370,0.9610778440
2,A41,atrazine,0.5x,2,9,0.283,0.7647058820,0.8587824350
2,A41,atrazine,0.5x,3,5,0.14,0.8692810460,0.9301397210
2,A41,atrazine,0.5x,4,0,0,0.9999999999,0.9999999999
2,A41,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
2,A41,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
2,A41,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
2,A41,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
2,A44,atrazine,0.5x,1,7,0.671,0.8041958040,0.6349292710
2,A44,atrazine,0.5x,2,2,0.147,0.9440559440,0.9200217630
2,A44,atrazine,0.5x,3,4,0.342,0.8881118880,0.8139281830
2,A44,atrazine,0.5x,4,11,1.052,0.6923076920,0.4276387380
2,A44,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
2,A44,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
2,A44,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
2,A44,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
2,A45,atrazine,0.5x,1,13,1.023,0.6312056740,0.5180779650
2,A45,atrazine,0.5x,2,15,1.049,0.5744680850,0.5058297020
2,A45,atrazine,0.5x,3,8,0.576,0.7730496450,0.7286538690
2,A45,atrazine,0.5x,4,8,0.56,0.7730496450,0.7361912610
2,A45,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
2,A45,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
2,A45,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
2,A45,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
2,A47,atrazine,0.5x,1,3,0.211,0.7000000000,0.7687037550
2,A47,atrazine,0.5x,2,0,0,0.9999999999,0.9999999999
2,A47,atrazine,0.5x,3,0,0,0.9999999999,0.9999999999
