run,pop,herb,rate,rep,ve,biomass,ve_red,bio_red
1,A46,glyphosate,1x,2,9,2.2404,0.1000000000,0.0682082850
1,A46,glyphosate,1x,3,9,1.8168,0.1000000000,0.2443852940
1,A46,glyphosate,1x,4,1,0,0.9000000000,0.9999999999
1,A46,glyphosate,1x,5,8,2.4539,0.2000000000,0.0000000001
1,A46,glyphosate,1x,6,9,2.3141,0.1000000000,0.0375561470
1,A46,glyphosate,1x,7,3,0.229,0.7000000000,0.9047579440
1,A46,glyphosate,1x,8,9,2.4829,0.1000000000,0.0000000001
1,A47,glyphosate,1x,1,9,3.2895,0.1000000000,0.0000000001
1,A47,glyphosate,1x,2,9,3.6643,0.1000000000,0.0000000001
1,A47,glyphosate,1x,3,9,2.2728,0.1000000000,0.1005846910
1,A47,glyphosate,1x,4,9,1.8651,0.1000000000,0.2619238420
1,A47,glyphosate,1x,5,9,2.3137,0.1000000000,0.0843993310
1,A47,glyphosate,1x,6,3,0.0952,0.7000000000,0.9623264970
1,A47,glyphosate,1x,7,9,2.9357,0.1000000000,0.0000000001
1,A47,glyphosate,1x,8,9,3.4602,0.1000000000,0.0000000001
1,A48,glyphosate,1x,1,9,3.7695,0.1000000000,0.0000000001
1,A48,glyphosate,1x,2,9,1.9602,0.1000000000,0.2443986160
1,A48,glyphosate,1x,3,9,2.3486,0.1000000000,0.0946814560
1,A48,glyphosate,1x,4,9,3.8102,0.1000000000,0.0000000001
1,A48,glyphosate,1x,5,9,2.2065,0.1000000000,0.1494569670
1,A48,glyphosate,1x,6,9,2.4024,0.1000000000,0.0739430850
1,A48,glyphosate,1x,7,9,1.3669,0.1000000000,0.4730989020
1,A48,glyphosate,1x,8,1,0,0.9000000000,0.9999999999
